State,County,LitAvg,NumAvg,Pop,Education,Industry,Pov,NoIns,MedIncome,Unemployment,VCR,JPR,Size
NC,Alamance County,261.3,244.4,157.844,0.57,Mgmt/Bus/Art,0.176,0.129,57.96,0.045,418.4,40.785,Small/Mid
NC,Alexander County,257.6,242.5,37.159,0.42,Prod/Trans,0.147,0.11,54.96,0.049,240.2,32.472,Small/Mid
NC,Alleghany County,257,241.6,10.935,0.481,Mgmt/Bus/Art,0.21,0.142,41.42,0.04,197.4,41.203,Rural
NC,Anson County,239.4,216.8,25.531,0.388,Prod/Trans,0.227,0.148,40.83,0.092,578.5,28.21,Rural
NC,Ashe County,261.6,246,26.833,0.536,Mgmt/Bus/Art,0.194,0.139,41.54,0.047,217.3,98.553,Rural
NC,Avery County,257.4,243.1,17.535,0.505,Mgmt/Bus/Art,0.147,0.163,45.82,0.032,134.2,31.34,Rural
NC,Beaufort County,257.6,238.9,47.316,0.524,Mgmt/Bus/Art,0.191,0.123,49.41,0.066,210,30.921,Rural
NC,Bertie County,238,215.9,19.913,0.39,Prod/Trans,0.22,0.133,37.9,0.079,266.6,33.249,Rural
NC,Bladen County,247.2,227.3,34.13,0.463,Mgmt/Bus/Art,0.245,0.123,42.26,0.053,249.7,36.262,Rural
NC,Brunswick County,269.1,253.9,122.586,0.617,Mgmt/Bus/Art,0.141,0.125,63.71,0.056,600,39.533,Small/Mid
NC,Buncombe County,275.2,261.3,252.268,0.669,Mgmt/Bus/Art,0.132,0.115,55.45,0.037,343.6,31.108,Small/Mid
NC,Burke County,257.8,242.6,88.898,0.502,Mgmt/Bus/Art,0.193,0.13,47.89,0.066,232.3,37.2,Small/Mid
NC,Cabarrus County,270.5,256,196.716,0.639,Mgmt/Bus/Art,0.115,0.089,72.07,0.053,131.6,26.708,Suburban
NC,Caldwell County,257.4,243.1,81.805,0.465,Prod/Trans,0.164,0.14,48.51,0.055,194.4,34.034,Small/Mid
NC,Camden County,267.1,254.2,10.336,0.591,Mgmt/Bus/Art,0.09,0.104,69.61,0.066,105.3,47.789,Rural
NC,Carteret County,274.2,260.3,68.699,0.651,Mgmt/Bus/Art,0.125,0.122,60.06,0.06,191.3,35.056,Rural
NC,Caswell County,247.5,229.3,22.833,0.444,Mgmt/Bus/Art,0.213,0.099,51.24,0.06,114,2.089,Rural
NC,Catawba County,263.6,249.1,156.182,0.537,Mgmt/Bus/Art,0.142,0.113,53.69,0.055,196.8,26.755,Small/Mid
NC,Chatham County,271.2,257,68.364,0.66,Mgmt/Bus/Art,0.133,0.125,70.26,0.043,212.8,14.828,Small/Mid
NC,Cherokee County,262.5,247.3,27.463,0.512,Mgmt/Bus/Art,0.168,0.162,42.76,0.052,302.1,81.266,Rural
NC,Chowan County,249.8,229.2,14.37,0.488,Mgmt/Bus/Art,0.228,0.137,47.13,0.085,416.3,27.758,Rural
NC,Clay County,265.4,249.2,10.753,0.557,Mgmt/Bus/Art,0.175,0.156,47.12,0.05,193,47.316,Rural
NC,Cleveland County,256.8,238.7,97.038,0.489,Mgmt/Bus/Art,0.199,0.13,46.01,0.075,106.7,43.53,Rural
NC,Columbus County,248.7,228.8,56.589,0.475,Mgmt/Bus/Art,0.236,0.151,39.53,0.043,369,43.1,Rural
NC,Craven County,266.7,250.6,103.374,0.618,Mgmt/Bus/Art,0.154,0.119,53.37,0.053,310.9,43.923,Small/Mid
NC,Cumberland County,264.9,245.8,332.766,0.645,Mgmt/Bus/Art,0.182,0.112,46.6,0.062,786.6,34.1,Small/Mid
NC,Currituck County,271,258.2,25.247,0.592,Mgmt/Bus/Art,0.091,0.129,70.7,0.036,232.5,17.53,Suburban
NC,Dare County,277.2,263.5,35.412,0.676,Mgmt/Bus/Art,0.089,0.16,63.03,0.04,156.8,36.947,Rural
NC,Davidson County,260.7,245.3,164.118,0.498,Mgmt/Bus/Art,0.158,0.115,53.92,0.063,163.5,24.25,Small/Mid
NC,Davie County,267.4,252.7,41.766,0.557,Mgmt/Bus/Art,0.14,0.113,63.83,0.05,160,17.026,Small/Mid
NC,Duplin County,239.1,218.9,59.35,0.406,Mgmt/Bus/Art,0.263,0.193,44.93,0.068,147,38.33,Rural
NC,Durham County,269.1,251.6,300.865,0.707,Mgmt/Bus/Art,0.164,0.131,65.54,0.045,703.6,22.645,Small/Mid
NC,Edgecombe County,239.1,216.3,54.032,0.415,Mgmt/Bus/Art,0.246,0.126,40.78,0.073,931.4,65.687,Small/Mid
NC,Forsyth County,265,247.1,368.362,0.632,Mgmt/Bus/Art,0.187,0.116,53.05,0.051,765.7,31.097,Small/Mid
NC,Franklin County,259.2,242.2,63.866,0.542,Mgmt/Bus/Art,0.164,0.125,57.37,0.052,157.4,39.907,Suburban
NC,Gaston County,261.1,245,214.049,0.533,Mgmt/Bus/Art,0.165,0.123,56.54,0.062,414.5,33.518,Suburban
NC,Gates County,258.3,241.3,11.601,0.503,Mgmt/Bus/Art,0.124,0.104,54.2,0.063,204,10.31,Suburban
NC,Graham County,252,235.9,8.607,0.445,Service,0.19,0.17,45.81,0.053,134.7,13.761,Rural
NC,Granville County,257,240.2,58.503,0.522,Mgmt/Bus/Art,0.143,0.095,54.3,0.045,318.6,23.364,Rural
NC,Greene County,241.3,220.7,21.059,0.439,Mgmt/Bus/Art,0.258,0.161,44.65,0.059,309.2,52.68,Rural
NC,Guilford County,266.6,249,517.197,0.648,Mgmt/Bus/Art,0.167,0.113,55.82,0.05,651.8,25.468,Small/Mid
NC,Halifax County,238,215.6,52.3,0.397,Mgmt/Bus/Art,0.268,0.123,38.73,0.063,398,32.61,Rural
NC,Harnett County,261,243.5,128.753,0.558,Mgmt/Bus/Art,0.18,0.119,55.62,0.06,198,23.551,Rural
NC,Haywood County,269.5,254.9,59.854,0.596,Mgmt/Bus/Art,0.166,0.124,51.61,0.036,342.7,30.443,Small/Mid
NC,Henderson County,273.7,260.3,112.156,0.648,Mgmt/Bus/Art,0.118,0.124,61.65,0.026,155,30.201,Small/Mid
NC,Hertford County,243.4,221.2,24.262,0.476,Mgmt/Bus/Art,0.233,0.124,42.37,0.064,406.5,56.729,Rural
NC,Hoke County,256.7,236.9,52.571,0.567,Mgmt/Bus/Art,0.219,0.138,48.42,0.073,260,44.781,Small/Mid
NC,Hyde County,246,226.4,5.507,0.406,Mgmt/Bus/Art,0.203,0.135,43.11,0.051,247,28.737,Rural
NC,Iredell County,269.5,254.8,169.798,0.601,Mgmt/Bus/Art,0.127,0.107,68.31,0.056,266.9,24.395,Suburban
NC,Jackson County,266,249.7,41.725,0.616,Mgmt/Bus/Art,0.216,0.138,47.76,0.032,249,19.057,Rural
NC,Johnston County,262.5,246.5,186.308,0.562,Mgmt/Bus/Art,0.145,0.134,62.84,0.049,187.4,13.529,Suburban
NC,Jones County,255.2,235.6,9.776,0.529,Mgmt/Bus/Art,0.264,0.157,46.28,0.077,197,45.06,Small/Mid
NC,Lee County,257.8,241.2,59.805,0.563,Mgmt/Bus/Art,0.175,0.148,53.11,0.056,166.1,24.351,Rural
NC,Lenoir County,247.8,226.6,57.934,0.482,Mgmt/Bus/Art,0.223,0.146,39.95,0.083,468,62.295,Rural
NC,Lincoln County,264.6,250.2,80.504,0.535,Mgmt/Bus/Art,0.152,0.118,70.48,0.06,217.1,25.457,Suburban
NC,McDowell County,259.2,243.6,45.069,0.494,Prod/Trans,0.193,0.124,46.37,0.05,171.7,39.819,Rural
NC,Macon County,263.7,246.4,34.16,0.563,Mgmt/Bus/Art,0.177,0.156,46.28,0.032,72,21.243,Small/Mid
NC,Madison County,263.5,248.8,21.347,0.527,Mgmt/Bus/Art,0.178,0.107,50.06,0.05,450,55.241,Rural
NC,Martin County,250,229.9,23.227,0.474,Mgmt/Bus/Art,0.192,0.116,39.41,0.065,151.8,33.248,Rural
NC,Mecklenburg County,270.6,254.1,1034.29,0.72,Mgmt/Bus/Art,0.134,0.131,69.46,0.054,688.1,20.655,Urban
NC,Mitchell County,262.3,248.2,15.155,0.498,Mgmt/Bus/Art,0.154,0.132,47.68,0.032,13.6,39.814,Rural
NC,Montgomery County,248.3,230.3,27.445,0.448,Mgmt/Bus/Art,0.209,0.154,46.5,0.038,293.3,43.3,Rural
NC,Moore County,273.4,259,94.191,0.673,Mgmt/Bus/Art,0.133,0.103,63.94,0.047,174.1,21.914,Rural
NC,Nash County,255.2,236.4,94.125,0.514,Mgmt/Bus/Art,0.159,0.118,50.9,0.059,237,36.132,Small/Mid
NC,New Hanover County,275.6,259.7,219.866,0.704,Mgmt/Bus/Art,0.18,0.112,57.25,0.054,436.1,36.01,Small/Mid
NC,Northampton County,238.5,215.6,20.426,0.41,Mgmt/Bus/Art,0.254,0.148,39.78,0.061,355,47.704,Rural
NC,Onslow County,269.9,253.7,192.685,0.622,Mgmt/Bus/Art,0.141,0.1,50.65,0.054,269.3,22.777,Small/Mid
NC,Orange County,283,269.7,141.812,0.774,Mgmt/Bus/Art,0.14,0.08,74.31,0.039,152.4,12.709,Small/Mid
NC,Pamlico County,263.3,247,12.803,0.558,Mgmt/Bus/Art,0.151,0.145,52.52,0.054,184.9,138.7,Small/Mid
NC,Pasquotank County,256.7,237.3,39.546,0.539,Mgmt/Bus/Art,0.181,0.135,51.25,0.046,389.1,47.783,Rural
NC,Pender County,264.7,248.6,57.63,0.579,Mgmt/Bus/Art,0.158,0.13,60.41,0.061,191,16.143,Small/Mid
NC,Perquimans County,260.4,242.6,13.506,0.546,Mgmt/Bus/Art,0.188,0.124,50.8,0.058,281,47.777,Rural
NC,Person County,255.4,237.1,39.24,0.485,Mgmt/Bus/Art,0.181,0.105,54.55,0.083,293.5,55.05,Small/Mid
NC,Pitt County,264.2,244.4,176.484,0.655,Mgmt/Bus/Art,0.243,0.12,52.96,0.075,366,38.182,Small/Mid
NC,Polk County,273.7,260.4,20.434,0.641,Mgmt/Bus/Art,0.109,0.12,53.41,0.047,55.7,24.247,Rural
NC,Randolph County,256.5,241,142.827,0.463,Mgmt/Bus/Art,0.167,0.141,50.13,0.045,558.4,31.958,Small/Mid
NC,Richmond County,247.1,226.4,45.447,0.44,Mgmt/Bus/Art,0.261,0.141,40.52,0.068,767.6,35.295,Rural
NC,Robeson County,244.8,224.3,134.187,0.423,Mgmt/Bus/Art,0.292,0.16,36.37,0.059,311.7,45.455,Rural
NC,Rockingham County,253.7,237,91.566,0.467,Mgmt/Bus/Art,0.185,0.112,44.69,0.051,345.6,28.526,Small/Mid
NC,Rowan County,258.8,242.1,138.94,0.514,Mgmt/Bus/Art,0.168,0.129,52.05,0.067,236,31.291,Suburban
NC,Rutherford County,258.4,242.5,66.523,0.49,Mgmt/Bus/Art,0.196,0.123,44.55,0.059,437.5,49.283,Rural
NC,Sampson County,244.2,224.2,63.664,0.434,Mgmt/Bus/Art,0.243,0.175,46,0.07,607.5,54.05,Rural
NC,Scotland County,245.2,223.7,35.445,0.454,Mgmt/Bus/Art,0.298,0.127,39.2,0.074,327.6,48.189,Rural
NC,Stanly County,260.2,244.3,60.875,0.513,Mgmt/Bus/Art,0.157,0.121,58.3,0.06,191,19.842,Rural
NC,Stokes County,256.7,241.4,46.124,0.427,Mgmt/Bus/Art,0.139,0.124,52.36,0.053,170,32.123,Small/Mid
NC,Surry County,257.4,243,72.315,0.483,Mgmt/Bus/Art,0.176,0.133,48.64,0.036,369.6,27.914,Rural
NC,Swain County,251.5,234.5,14.208,0.478,Service,0.209,0.211,46.08,0.046,156.6,118.457,Rural
NC,Transylvania County,268.6,253.9,33.291,0.603,Mgmt/Bus/Art,0.155,0.161,55.63,0.049,93.9,35.598,Rural
NC,Tyrrell County,230.5,208.2,4.09,0.327,Service,0.268,0.173,37.68,0.054,281.9,22.371,Rural
NC,Union County,274,259.4,222.095,0.645,Mgmt/Bus/Art,0.094,0.099,86.14,0.047,756.1,14.787,Suburban
NC,Vance County,239.4,217.9,44.42,0.409,Sales/Office,0.23,0.115,40.45,0.081,250,56.346,Rural
NC,Wake County,281.4,267.9,1023.811,0.767,Mgmt/Bus/Art,0.101,0.096,84.38,0.039,231.7,16.206,Urban
NC,Warren County,243.6,222.1,20.19,0.455,Mgmt/Bus/Art,0.223,0.14,37.03,0.05,185,24.618,Rural
NC,Washington County,239.4,218,12.331,0.414,Prod/Trans,0.241,0.127,40.16,0.071,111.3,28.739,Rural
NC,Watauga County,273.4,257.2,53.421,0.687,Mgmt/Bus/Art,0.283,0.094,51.63,0.054,414.2,18.716,Rural
NC,Wayne County,255.2,236.1,124.496,0.535,Mgmt/Bus/Art,0.212,0.137,45.63,0.068,232,27.214,Small/Mid
NC,Wilkes County,256.5,241.3,68.525,0.464,Mgmt/Bus/Art,0.209,0.123,45.25,0.052,339.3,28.001,Rural
NC,Wilson County,247.7,227.7,81.379,0.477,Mgmt/Bus/Art,0.206,0.138,42.41,0.059,226.2,39.053,Rural
NC,Yadkin County,255.3,240.2,37.825,0.447,Mgmt/Bus/Art,0.173,0.132,50.93,0.04,48.8,13.978,Small/Mid
NC,Yancey County,260.3,244.7,17.605,0.497,Mgmt/Bus/Art,0.196,0.143,47.66,0.059,146,29.124,Rural
SC,Abbeville County,249.8,232.4,24.788,0.442,Mgmt/Bus/Art,0.227,0.121,46.5,0.062,265,49.352,Rural
SC,Aiken County,261.8,245.4,165.707,0.545,Mgmt/Bus/Art,0.167,0.116,56.82,0.066,492,30.64,Small/Mid
SC,Allendale County,226.8,201.6,9.402,0.341,Service,0.304,0.145,32.15,0.092,1013,64.236,Rural
SC,Anderson County,262.9,248.3,194.174,0.529,Mgmt/Bus/Art,0.156,0.114,54.5,0.05,448,37.41,Small/Mid
SC,Bamberg County,243.6,222,14.842,0.471,Mgmt/Bus/Art,0.245,0.16,35.36,0.042,562,35.56,Rural
SC,Barnwell County,245.4,224.2,21.788,0.448,Sales/Office,0.27,0.148,36.68,0.067,887,52.008,Rural
SC,Beaufort County,273.4,258.6,179.316,0.704,Mgmt/Bus/Art,0.119,0.131,73.89,0.047,378,18.251,Small/Mid
SC,Berkeley County,265.7,250.1,204.632,0.584,Mgmt/Bus/Art,0.128,0.121,68.69,0.047,258,29.838,Small/Mid
SC,Calhoun County,252.9,233.1,14.808,0.467,Mgmt/Bus/Art,0.183,0.122,47.09,0.046,529,43.285,Small/Mid
SC,Charleston County,271.9,256,387.847,0.684,Mgmt/Bus/Art,0.153,0.123,70.98,0.04,505,42.697,Small/Mid
SC,Cherokee County,251.2,234.4,56.549,0.417,Mgmt/Bus/Art,0.22,0.126,46.91,0.051,407,49.731,Rural
SC,Chester County,248.1,229.1,32.424,0.414,Prod/Trans,0.218,0.12,45.4,0.067,667,22.764,Suburban
SC,Chesterfield County,242.7,223.5,46.127,0.357,Prod/Trans,0.238,0.132,42.44,0.064,545,27.506,Rural
SC,Clarendon County,244.8,224.2,34.156,0.426,Mgmt/Bus/Art,0.233,0.123,39.9,0.073,607,27.718,Rural
SC,Colleton County,248.2,227.2,37.581,0.449,Mgmt/Bus/Art,0.223,0.129,40.81,0.068,674,60.204,Rural
SC,Darlington County,249.9,230.4,67.572,0.459,Mgmt/Bus/Art,0.227,0.129,44.01,0.094,902,38.581,Small/Mid
SC,Dillon County,236.6,214.6,31.073,0.366,Prod/Trans,0.306,0.168,35.48,0.057,1047,91.973,Rural
SC,Dorchester County,269.2,254.2,151.716,0.621,Mgmt/Bus/Art,0.118,0.107,68.05,0.046,305,21.833,Small/Mid
SC,Edgefield County,252,234.9,26.62,0.455,Mgmt/Bus/Art,0.155,0.1,52.59,0.04,40,28.217,Small/Mid
SC,Fairfield County,243.6,221.9,22.868,0.437,Mgmt/Bus/Art,0.213,0.142,42.5,0.06,792,49.911,Small/Mid
SC,Florence County,254.3,235.6,138.537,0.512,Mgmt/Bus/Art,0.196,0.106,49.77,0.07,821,36.168,Small/Mid
SC,Georgetown County,260.8,243.3,61.065,0.578,Mgmt/Bus/Art,0.187,0.143,53.75,0.069,515,56.336,Rural
SC,Greenville County,269.1,254.8,490.332,0.624,Mgmt/Bus/Art,0.135,0.122,64.4,0.041,489,37.911,Small/Mid
SC,Greenwood County,255.1,236.1,69.981,0.526,Mgmt/Bus/Art,0.242,0.148,43.96,0.072,813,46.076,Rural
SC,Hampton County,240,218.9,20.066,0.381,Mgmt/Bus/Art,0.184,0.107,37.56,0.062,749,28.995,Rural
SC,Horry County,262.1,245.3,310.186,0.565,Sales/Office,0.17,0.156,53.65,0.054,456,36.685,Small/Mid
SC,Jasper County,239.6,218.4,27.465,0.439,Service,0.226,0.185,50.79,0.081,219,40.734,Small/Mid
SC,Kershaw County,258.8,242,63.734,0.495,Mgmt/Bus/Art,0.164,0.119,56.32,0.049,388,35.579,Small/Mid
SC,Lancaster County,261.9,246.1,86.544,0.527,Mgmt/Bus/Art,0.155,0.114,63.84,0.056,304,21.663,Suburban
SC,Laurens County,251.6,234.5,66.508,0.453,Mgmt/Bus/Art,0.207,0.124,47.04,0.057,606,58.679,Small/Mid
SC,Lee County,235.4,211.9,17.897,0.353,Prod/Trans,0.264,0.117,37.71,0.049,909,29.022,Rural
SC,Lexington County,271,256.8,281.87,0.605,Mgmt/Bus/Art,0.128,0.109,62.06,0.047,348,39.204,Small/Mid
SC,McCormick County,248.6,230.2,9.694,0.485,Mgmt/Bus/Art,0.201,0.089,48.65,0.084,180,36.44,Rural
SC,Marion County,240.7,218.6,31.765,0.43,Mgmt/Bus/Art,0.265,0.14,35.14,0.072,558,47.291,Rural
SC,Marlboro County,234.9,213.6,27.505,0.328,Prod/Trans,0.266,0.123,34.53,0.091,739,35.354,Rural
SC,Newberry County,249,230.9,37.914,0.431,Mgmt/Bus/Art,0.198,0.099,50.77,0.06,463,30.846,Rural
SC,Oconee County,262.8,248.1,75.926,0.532,Mgmt/Bus/Art,0.186,0.13,52.24,0.047,357,32.774,Rural
SC,Orangeburg County,249.8,227.9,89.116,0.519,Mgmt/Bus/Art,0.232,0.139,38.74,0.066,1113,43.291,Rural
SC,Pickens County,265.6,251.5,121.449,0.544,Mgmt/Bus/Art,0.183,0.104,52.95,0.046,340,31.29,Small/Mid
SC,Richland County,267.8,250.1,404.869,0.683,Mgmt/Bus/Art,0.167,0.1,52.91,0.056,857,29.479,Small/Mid
SC,Saluda County,246.1,228,20.228,0.425,Mgmt/Bus/Art,0.205,0.157,49.49,0.046,244,37.665,Small/Mid
SC,Spartanburg County,263.9,248.8,297.732,0.558,Mgmt/Bus/Art,0.156,0.12,55.59,0.047,493,38.038,Small/Mid
SC,Sumter County,253.5,234.1,107.379,0.523,Mgmt/Bus/Art,0.211,0.125,49.61,0.079,773,29.022,Small/Mid
SC,Union County,251.2,233.4,27.772,0.416,Prod/Trans,0.193,0.099,42.85,0.053,480,52.662,Small/Mid
SC,Williamsburg County,236.2,211.9,32.256,0.392,Sales/Office,0.282,0.117,34.41,0.06,428,53.611,Rural
SC,York County,274.7,260.1,251.664,0.625,Mgmt/Bus/Art,0.123,0.095,68.47,0.052,368,25.857,Suburban
VA,Accomack County,247.5,228.8,32.84,0.432,Mgmt/Bus/Art,0.198,0.167,47.34,0.039,1649.21,50.466,Rural
VA,Albemarle County,281.9,271.4,105.105,0.738,Mgmt/Bus/Art,0.098,0.076,86.33,0.023,1014.38,63.687,Small/Mid
VA,Alleghany County,261.2,246.1,15.489,0.471,Mgmt/Bus/Art,0.193,0.074,53.34,0.03,1057.32,87.216,Urban
VA,Amelia County,253.3,238.7,12.802,0.451,Sales/Office,0.13,0.128,60.1,0.024,1210.45,140.257,Rural
VA,Amherst County,258.2,244.2,31.819,0.497,Mgmt/Bus/Art,0.134,0.101,56.22,0.042,645.34,62.069,Suburban
VA,Appomattox County,259,244.4,15.462,0.489,Mgmt/Bus/Art,0.144,0.085,54.61,0.025,322.42,62.07,Small/Mid
VA,Arlington County,291.4,282.8,229.534,0.859,Mgmt/Bus/Art,0.082,0.078,118.99,0.027,520.33,25.355,Small/Mid
VA,Augusta County,263.9,251.6,74.39,0.486,Mgmt/Bus/Art,0.088,0.096,63.62,0.032,775.41,31.691,Urban
VA,Bath County,254.9,240.9,4.458,0.456,Service,0.093,0.136,54.39,0.053,254.75,87.232,Small/Mid
VA,Bedford County,271.9,260.3,77.319,0.59,Mgmt/Bus/Art,0.089,0.078,66.59,0.034,1118.59,62.069,Rural
VA,Bland County,262.2,249.5,6.524,0.478,Sales/Office,0.083,0.086,49.02,0.042,487.12,73.147,Small/Mid
VA,Botetourt County,275.9,264.9,33.149,0.596,Mgmt/Bus/Art,0.077,0.048,74.18,0.03,800.14,40.161,Rural
VA,Brunswick County,239.6,220,16.435,0.403,Mgmt/Bus/Art,0.209,0.087,43.84,0.049,300.76,132.051,Small/Mid
VA,Buchanan County,247,232.5,22.611,0.352,Mgmt/Bus/Art,0.265,0.136,36.88,0.043,1620.1,154.141,Small/Mid
VA,Buckingham County,239.3,222.1,17.048,0.354,Mgmt/Bus/Art,0.166,0.132,47.2,0.052,585.65,94.416,Rural
VA,Campbell County,263.7,250.8,55.158,0.528,Mgmt/Bus/Art,0.117,0.094,48.98,0.025,1076.06,62.068,Rural
VA,Caroline County,254.2,239.3,29.889,0.466,Mgmt/Bus/Art,0.119,0.086,64.65,0.045,1309.45,94.765,Small/Mid
VA,Carroll County,259.9,247.7,29.767,0.466,Mgmt/Bus/Art,0.146,0.129,45.7,0.028,665.82,73.141,Rural
VA,Charles City County,241.5,224.5,7.022,0.379,Mgmt/Bus/Art,0.132,0.1,56.47,0.047,327.82,326.372,Small/Mid
VA,Charlotte County,242.4,223.2,12.176,0.395,Mgmt/Bus/Art,0.227,0.135,43,0.049,1064.72,95.541,Suburban
VA,Chesterfield County,274.8,262.5,335.594,0.681,Mgmt/Bus/Art,0.072,0.078,81.64,0.045,1783.56,13.146,Rural
VA,Clarke County,268.6,256.8,14.331,0.585,Mgmt/Bus/Art,0.104,0.143,85.57,0.026,710.31,51.779,Suburban
VA,Craig County,267.1,254.6,5.131,0.492,Mgmt/Bus/Art,0.093,0.081,53.32,0.03,548.16,40.157,Rural
